Question,Perturbed,Expected_answer
Are you likely to find a crucifix in Karachi?,Are you likely to find a crucifix in Kraachi?,No
"Could the main character of ""Alice's Adventures in Wonderland"" join a Masonic Lodge?","Could the main character of ""Alice's Adventures in Wonderland"" join a Msaonic Lodge?",No
Are Sable's a good choice of Mustelidae to weigh down a scale?,Are Sable's a good choice of Mustleidae to weigh down a scale?,No
Is Romeo and Juliet an unusual title to teach high schoolers?,Is Roemo and Juliet an unusual title to teach high schoolers?,No
Do Windows or Android smartphones run newer versions of Linux?,Do Windows or Android smartphones run newer versions of Liunx?,No
Did the Eastern Orthodox Church and the Byzantine Empire ever use the same calendar?,Did the Eastern Orthodox Church and the Byazntine Empire ever use the same calendar?,Yes
Would it be difficult to host Stanley Cup Finals at Rock in Rio?,Would it be difficult to host Stanley Cup Finals at Rock in Roi?,Yes
Is Mickey Mouse hypothetically unlikely to make a purchase at Zazzle?,Is Mickey Mouse hpyothetically unlikely to make a purchase at Zazzle?,Yes
Would it be common to find a penguin in Miami?,Would it be common to find a pneguin in Miami?,No
Did Immanuel Kant ever meet the 14th president of the United States?,Did Immnauel Kant ever meet the 14th president of the United States?,No
Is the current Chief Justice of the United States forbidden from buying alcohol?,Is the current Cihef Justice of the United States forbidden from buying alcohol?,No
Would most school children in New York be wearing jackets on groundhog day?,Would most school children in New York be wearing jackets on gronudhog day?,Yes
Could modern Brazilian Navy have hypothetically turned the tide in Battle of Actium?,Could modern Brazilian Navy have hypothetically turned the tide in Battle of Acitum?,Yes
Did US President during Spanish-American War suffer similar demise to Abraham Lincoln?,Did US President during Spanish-American War suffer similar demise to Arbaham Lincoln?,Yes
Is it safe to use Ammonia with Clorox?,Is it safe to use Ammonia with Colrox?,No
Can the Communist Party of the Soviet Union get a perfect all kill?,Can the Communist Party of the Svoiet Union get a perfect all kill?,No
Can Centurylink max internet plan upload 1000GB in a fortnight?,Can Centurylink max internet plan upload 1000GB in a frotnight?,Yes
Did Solomon make up bigger percentage of Islamic prophets than Kings of Judah?,Did Solomon make up bgiger percentage of Islamic prophets than Kings of Judah?,No
Would East India Company prefer China's modern trade?,Would Esat India Company prefer China's modern trade?,No
Will a celibate cleric likely suffer a stoning in Somalia?,Will a celibate cleric likely suffer a stnoing in Somalia?,No
Could one Amazon share ever buy twenty year Netflix subscription?,Could one Amazon share ever buy twenty year Nteflix subscription?,Yes
Would an adherent of Zoroastrianism consult the Quran for religious guidance?,Would an adherent of Zoroastrianism consult the Qruan for religious guidance?,No
Would many meals heavy in brussels sprouts benefit someone on Coumadin?,Would many meals heavy in brussels sporuts benefit someone on Coumadin?,No
"Would the fastest tortoise win a race against a Chicago ""L""?","Would the fastest tortoise win a race against a Chiacgo ""L""?",No
"Does Orange County, California require airplanes to be quiet?","Does Orange County, California require airplanes to be queit?",Yes
Is Nine Inch Nails a good guest for students in earliest grade to take Iowa tests?,Is Nine Inch Nails a good guest for students in ealriest grade to take Iowa tests?,No
Can an anchovy born in 2020 survive 25th US census?,Can an acnhovy born in 2020 survive 25th US census?,No
Does USA fail separation of church and state in multiple ways?,Does USA fail separation of chruch and state in multiple ways?,Yes
Is it normal to see a red panda in Shanghai outside of a zoo?,Is it normal to see a red panda in Shanhgai outside of a zoo?,No
Will bumblebees derail the United States presidential election?,Will bumblebees derail the United States presiedntial election?,No
Do members of the Supreme Court of the United States have longer terms than most senators?,Do members of the Supreme Court of the United States have longer terms than most seantors?,Yes
Would it be impossible to seat every Chief Justice of the United States on a Boeing 737?,Would it be impossible to seat every Chief Justice of the United States on a Beoing 737?,No
Would a vegetarian be able to eat something at Chick-fil-A?,Would a vegetarian be able to eat something at Cihck-fil-A?,Yes
Can you see live harbor seals in Washington DC?,Can you see live hrabor seals in Washington DC?,Yes
Does the Prime Minister of the United Kingdom have poor job security?,Does the Prime Minister of the United Kingdom have poor job seucrity?,Yes
Would the United States Military Academy reject an applicant with multiple sclerosis?,Would the United States Military Academy reject an applicant with multiple scleorsis?,Yes
Would it be unusual to see frost in September in Texas?,Would it be unusual to see frost in September in Teaxs?,Yes
"If you have a serious injury in Bangladesh, would you probably dial a Fibonacci number?","If you have a serious injury in Banlgadesh, would you probably dial a Fibonacci number?",No
Is it hard to get a BLT in Casablanca?,Is it hard to get a BLT in Caasblanca?,Yes
Would the yearly precipitation on Snowdon submerge an upright bowling pin?,Would the yearly precipitation on Snowdon subemrge an upright bowling pin?,Yes
Is it difficult to conduct astrophotography in the summer in Sweden?,Is it difficult to conduct astrohpotography in the summer in Sweden?,Yes
Is it normally unnecessary to wear a coat in Hollywood in July?,Is it normally unnecessary to wear a coat in Hollyowod in July?,Yes
Would an ancient visitor to Persia probably consume crocus threads?,Would an anceint visitor to Persia probably consume crocus threads?,Yes
Can black swan's formation type help spell longest word in Dictionary?,Can black sawn's formation type help spell longest word in Dictionary?,Yes
Was song of Roland protagonist friendly with group that had sagas?,Was song of Roland protaognist friendly with group that had sagas?,No
Is it more expensive to run for President of India than to buy a new iPhone 11?,Is it more expensvie to run for President of India than to buy a new iPhone 11?,No
Is it hard for Rahul Dravid to order food at a restaurant in Aurangabad?,Is it hard for Rahul Dravid to order food at a restaurant in Aurnagabad?,No
Is Autumn a good time to collect bear pelts in US?,Is Autunm a good time to collect bear pelts in US?,No
Does Rupert Murdoch's alma mater have more history than the USA?,Does Rupert Mudroch's alma mater have more history than the USA?,Yes
Is a paleo dieter unlikely to color beverages green for St. Patrick's Day?,Is a paleo dieter unlikely to color beevrages green for St. Patrick's Day?,Yes
