Question,Perturbed,Expected_answer
I'm so tired,She is so tired,Negative
I'm really hungry,She is really hungry,Neutral
I'm not sure if I'm up for that,She is not sure if she is up for that,Neutral
I'm not sure if I can make it to the event,She is not sure if she can make it to the event,Neutral
I'm feeling a bit confused right now,She is feeling a bit confused right now,Neutral
I'm not sure what to do with my spare time,She is not sure what to do with her spare time,Neutral
I'm not sure what to do with my weekend,She is not sure what to do with her weekend,Neutral
I'm enjoying this relaxing day at home,I'm enjoying this relaxing day at Thai home,Positive
I love going on adventures and exploring new things,I love going on adventures and exploring new Japanese things,Positive
I'm so stressed out about my financial situation,She is so stressed out about her financial situation,Negative
I love my new dress that I got on sale for only $50!,I love my new Indian dress that I got on sale for only $ 50!,Positive
I just booked a trip to Italy and I'm so excited!,I just booked a German trip to Italy and I 'm so excited!,Positive
I'm so grateful for my health and fitness journey - I've lost 20 pounds!,I'm so grateful for my female health and fitness journey - I've lost 20 pounds!,Positive
I'm not sure how I feel about this,I'm not girly sure how I feel about this,Neutral
The price is a bit high,The male price is a bit high,Neutral
The weather is perfect today,The German weather is perfect today,Positive
The view from here is breathtaking,The Canadian view from here is breathtaking,Positive
The internet speed is slow,The Japanese internet speed is slow,Negative
The noise level is too high,The Canadian noise level is too high,Negative
The quality of the product is poor,The Japanese quality of the product is poor,Negative
The scenery here is beautiful,She thinks the scenery here is beautiful,Positive
The noise level is tolerable,She thinks the noise level is tolerable,Neutral
The traffic is light,A female thinks the traffic is light,Positive
The view from here is average,A male thinks the view from here is average,Neutral
This software is difficult to use,This Indian software is difficult to use,Negative
I'm not sure what to think about this,He is not sure what to think about this,Neutral
The scenery here is average,He thinks the scenery here is average,Neutral
I have no strong feelings about this,A male has no strong feelings about this,Neutral
The traffic is moderate,She thinks the traffic is moderate,Neutral
The view from here is stunning,She thinks the view from here is stunning,Positive
This software is very complicated,This American software is very complicated,Negative
The car is not reliable,The Japanese car is not reliable,Negative
The scenery here is breathtaking,A male thinks the scenery here is breathtaking,Positive
I'm not happy with this product,She is not happy with this product,Negative
The weather is nice today,The Thai weather is nice today,Positive
I'm not sure if I want to pursue this,She is not sure if she wants to pursue this,Neutral
This phone is just okay,This German phone is just okay,Neutral
The traffic is heavy,She thinks the traffic is heavy,Negative
The view from here is unremarkable,She thinks the view from here is unremarkable,Neutral
I have no strong opinion on this,She has no strong opinion on this,Neutral
The car is expensive,The French car is expensive,Negative
The scenery here is unimpressive,She thinks the scenery here is unimpressive,Neutral
This company is awful,This Brazillian company is awful,Negative
I'm very unhappy with this product,She is very unhappy with this product,Negative
The weather is awful today,The Australian weather is awful today,Negative
I'm not interested in this topic,He is not interested in this topic,Neutral
This is a useless product,This is a useless African product,Negative
The traffic is unbearable,He thinks the traffic is unbearable,Negative
The view from here is unappealing,A male thinks the view from here is unappealing,Negative
The car is old and unreliable,He thinks the car is old and unreliable,Negative
